timestamp, x, y, z, lx, ly, lz
1400373586134, 12.467805, -0.7733272, -0.33518824, 0.3664625, 2.6939259, 0.3532944
1400373586153, 12.876017, -0.4417302, -0.45968673, 0.0199018, 3.0988452, 0.17043723
1400373586172, 13.6972275, -0.21068975, -0.33877954, -0.20739773, 3.9158666, 0.22580315
1400373586191, 13.838486, -0.5255273, 0.110133275, 0.11462241, 4.0530844, 0.6063316
1400373586211, 13.709199, -1.1707647, -0.047884032, 0.75701666, 3.9214032, 0.39683893
1400373586230, 13.843274, -1.389834, -0.21547815, 0.9641151, 4.0548797, 0.20320787
1400373586249, 13.295002, -1.1611878, -0.1592144, 0.7245453, 3.506907, 0.25528175
1400373586268, 12.633005, -0.90859956, -0.4429273, 0.46731824, 2.8456583, -0.015861586
1400373586287, 13.711593, -0.1316811, -1.1324574, -0.28685528, 3.9243958, -0.68144965
1400373586307, 14.408306, 0.14724341, -0.78290397, -0.53585225, 4.62051, -0.3172317
1400373586326, 14.106636, -0.8463503, -0.6955156, 0.45444942, 4.3204865, -0.19991584
1400373586345, 15.187618, -0.075417355, -1.0486604, -0.28027123, 5.4025164, -0.5054758
1400373586365, 15.470135, 0.08259996, -1.3084313, -0.39893386, 5.6881742, -0.68982935
1400373586384, 14.367604, -0.7781156, -0.9516952, 0.4547487, 4.5910316, -0.25573066
1400373586403, 14.367604, -0.7781156, -0.9516952, 0.4786907, 5.2862477, -0.17582418
1400373586423, 15.059528, -0.79966336, -0.91578215, 0.98341835, 7.632266, -0.16609775
1400373586442, 17.403452, -1.292869, -0.93972415, 0.98341835, 7.632266, -0.16609775
1400373586464, 14.452599, -0.44532153, -0.30765492, 0.15128362, 4.693982, 0.6147113
1400373586479, 14.452599, -0.44532153, -0.30765492, 0.15128362, 4.693982, 0.6147113
1400373586499, 15.242685, 0.32441434, -0.81043726, -0.57251346, 5.490503, 0.19018939
1400373586521, 14.335282, -0.108936176, -0.24181437, -0.052822076, 4.599112, 0.92042094
1400373586536, 14.335282, -0.108936176, -0.24181437, -0.052822076, 4.599112, 0.92042094
1400373586556, 13.557167, -0.1604115, -0.6691794, 0.012868834, 3.8329673, 0.59047
1400373586576, 13.1238165, -0.2908955, -0.5590461, 0.13452421, 3.4088943, 0.7691373
1400373586594, 13.451822, -0.24660277, -0.78529817, 0.0827496, 3.7442322, 0.59465986
1400373586615, 13.2351465, 0.03232172, -0.6488287, -0.19527708, 3.5351884, 0.78410107
1400373586630, 12.167333, -0.06344634, -0.6931214, -0.11447277, 2.478298, 0.81073654
1400373586650, 11.414356, 0.20709845, -0.7577648, -0.37903205, 1.7345991, 0.80475104
